,ALK,NTRK,MET,RET,HER2
0,@NEWSTALK1010,@IMFjimMYELOM@VincentRK,U7METv,RETURN,
1,WALK,@vincentRK,⁦@METUPUKorg,RETRO,
2,TALKED,⁦⁦@VincentRK⁩,#SABRCOMET,RETEVMO,
3,WALKED,@VincentRK,@METHILRENUKA,RETROSPECTIVE,
4,#spacewALK,vincentrk,#COMETS,RETWEETERS,
5,NEWSTALK,⁦@VincentRK⁩,#METexon14skipping,#RETRenegades,
6,#LUNGFORCEWALKBOSTON,⁦⁦@VincentRK⁩⁦@MatthewHoMD⁩,#METup,BRET,
7,TALKIBC,📊@VincentRK,#METUPUK,SECRET,
8,#BTWALK, @myelomaMD  @VincentRK  BCJ,TAXOMET,RETAIN,
9,#tALKpositiveNSCLC,@vicentRK,#METASTATIC,#RETrenegades,
10,TALK, @DrOlaLandgren @VincentRK et,#METEOR,FRET,
11,HFTCWALK,@Rfonsi1@VincentRK,METABEAM,#RETWEET,
12,NEWSTALK1010,@vincentrk,CHEMOMETER,CARETAKER,
13,#AABBPEPTALK,@VincentRKOncology,@METUPorg’s,CURETakedaMMRF,
14,SIDEWALK,@VincentRK’s,IMETELSTAT,GAVRETO,
15,CURETALK,@SusanNTRKers,#METAvivorgrants,DIRETAMENTE,
16,@TEALWALK,⁦@VincentRK,METHODIST,RETRÔ,
17,#RealTALK,“@VincentRK,ANZAMET,#RETRenegrades,
18,TALKING,@VincentRK|Lisa,METHODS,the RET gene,
19,2021wALK,VincentRK,#COMET2017Indy,2RET9vQ,
20,#LUNGFORCEWALK, @VincentRK ,👇🏻@METUPorg,RETRACTED,
21,#TEDTALK,,PRIMETIME,RETHINK,
22,#STALKLUNG,,#POKEMET,@RETRenegades,
23,#PDXBTWALK,,METUPPositionpaperonClinicalTrials,ARETA,
24,#ECOTALKS,,#cMET,#RETHINKCANCER,
25,#BRAINTUMORWALK,,BOMET,#RETWEEET,
26,@BoardWALK4Cure,,⁦@METUPUKorg⁩,CONCRETE,
27,WALKING,,#METex14,CURETALK,
28,#SPACEWALK,,PAPMET,⚡#RETWEET,
29,@MHFTALKBACK,,✅MET,#BACHELORETTE,
30,TEALWALK,,crizMET,RETURNED>>>>>>>>>>>>>,
31,WALK”,,SOMETHING,#ARETA,
32,#tALKpositive,,#METamplification,DRETest,
33,#TALKPINK,,META,SABOURETCardio,
34,TALKS,,t@METAvivor,RETURNING,
35,SPACEWALK,,@METUPorg,targets👉RET,
36,,,METAthriving,and RET,
37,,,#METAvivor,VITREORETINAL,
38,,,#PAM50MET,#SCORETrial,
39,,,CABOMETYX,RARETeen,
40,,,#METUPorg,#LIBRETTO001,
41,,,#FIBROMET,video*SECRET,
42,,,#PRIMETOWN2021,EGFR|ALK|ROS1|RET|BRAF|MET,
43,,,#METsurv,CUREToday,
44,,,8PMET,#ENTRETENIMENTO,
45,,,friend☀️🔥@METUPUKorg,#RETHINKPINK,
46,,,TCGA+METABRIC,RETURNED,
47,,,#METUp,ARETTA,
48,,,ADMET,DIRETO,
49,,,#WELCOMETOOURCHRUCH,RETREATMENT,
50,,,METavivor,video~SECRET,
51,,,EGFR–MET,@CURETODAY,
52,,,#METUPwithLungCancerDeath,RETWEETING,
53,,,@METavivor,#LIBRETTO,
54,,,#NWMETSCONF,#RETalteredcancers,
55,,,METHOTREXATE,#SECRET,
56,,,#SELIMETRY,☆☆☆☆☆SECRET,
57,,,#METABRIC,93RETY,
58,,,GAMETIME,CALRETICULIN,
59,,,METS,HRET,
60,,,unMET,#AWOLRETREAT,
61,,,#METS,INTERPRETATION,
62,,,COMET,LORETTA,
63,,,PROMETRIKA,#CABARET,
64,,,PROMETEEE,CABARET,
65,,,#METAthriving,@SABOURETCardio,
66,,,@CJMETA,LIBRETTO,
67,,,#METExon14Skip,#UnidosPorUnRETO,
68,,,METexon14,COLORRETAL,
69,,,@METUporg,RETRASOS,
70,,,⁦@METUPorg⁩,2RETfs7,
71,,,METamp,#MORETHANPINK,
72,,,#METskill,#RARETalk,
73,,,SOMETHING*,B2PiY29d5yRETiYZ9bIyHYQYVaRaE,
74,,,COMETs,#CURETalksCancer,
75,,,MABOMET,CORRETA,
76,,,METAVIVOR,RETREAT,
77,,,METex14del,@ABHURET,
78,,,#METUP2016Retreat,RETinhibitor,
79,,,@FEMETREAC1,RETrenegades,
80,,,ANGIOMET,PRETTY,
81,,,⛔️MET,RETi,
82,,,@COMET2017Indy,🔶RET,
83,,,METAVivor,RETWEET,
84,,,PROMETHEUS,margaRET,
85,,,2@8PMET,RETRASAR,
86,,,METUPUK,RETHINKING,
87,,,#METASTATICBREASTCANCER,#WEARETHEHERD,
88,,,⁦⁦@METUPorg⁩,#NGSforRET,
89,,,1MET,🧬RET,
90,,,METEOR,,
91,,,#HaveYouMETCancer,,
92,,,GEOMETRY,,
93,,,👉METUP👈,,
94,,,@METAvivorResear,,
95,,,#METSmonday,,
96,,,#LBBCMETSConf,,
97,,,OLIGOMET,,
98,,,#METSURV,,
99,,,#TMETuesday,,
100,,,METUPorg,,
101,,,FEMETREAC1,,
102,,,#COMETtrial,,
103,,,#METamp,,
104,,,PROMET,,
105,,,@COMETinitiative,,
106,,,COMET3,,
107,,,<i>MET<,,
108,,,#METUPORG,,
109,,,#ex14MET,,
110,,,METExon14,,
111,,,METASTASIS,,
112,,,#METs,,
113,,,METex14,,
114,,,#METUP’s,,
115,,,EGFR|ALK|ROS1|RET|BRAF|MET,,
116,,,#TAKEMETOCHURCH,,
117,,,#dcisCOMETstudy,,
118,,,METs,,
119,,,#BCMETS,,
120,,,METHYLATION,,
121,,,🔹MET,,
122,,,9PMET,,
123,,,#METexon14,,
124,,,geoMETry,,
125,,,iMET,,
126,,,ZOMETA,,
127,,,REMETY,,
128,,,abroad👇🏼@METUPorg,,
129,,,“METUP,,
130,,,@METUP,,
131,,,ENZAMET,,
132,,,6PMET,,
133,,,#COMET,,
134,,,DEXAMETHASONE,,
135,,,#METAvivor’s,,
136,,,PRIMETEST,,
137,,,#METster,,
138,,,PROMETEO,,
139,,,@Majormac1#METUP,,
140,,,MIMETIC,,
141,,,#METSTIVUS18,,
142,,,METamps,,
143,,,METUPUKorg,,
144,,,2@METAvivor,,
145,,,#METUPAsks,,
146,,,1PMET,,
147,,,@CKMETA,,
148,,,HYPOMETHYLATING,,
149,,,cMET,,
150,,,METUP’s,,
151,,,SOMETIMES,,
152,,,vote🔥☎️🔥@METUPorg,,
153,,,PARAMETERS,,
154,,,BECLOMETHASONE,,
155,,,METastasis,,
156,,,#ENZAMET,,
157,,,#METsters,,
158,,,@METAvivior,,
159,,,@METAvivor,,
160,,,#METUPasks,,
161,,,00PMET,,
162,,,#COMETstudy,,
163,,,METABRIC,,
164,,,METAvivor,,
165,,,METAvivors,,
166,,,METASTASES,,
167,,,#METAware,,
168,,,KOMET,,
169,,,#PROMETHEUS,,
170,,,SOMETH,,
171,,,#METAvivorMobile,,
172,,,#@METUPorg,,
173,,,@METUPUKorg,,
174,,,in MET,,
175,,,NonMETsers,,
176,,,METex14s,,
177,,,“@METUPorg,,
178,,,2️⃣MET⛔️can,,
179,,,antiMET,,
180,,,particularly MET,,
181,,,METUP,,
182,,,METASTATIC,,
183,,,#XPOMET,,
184,,,METex14mut,,
185,,,#METSMonday,,
186,,,#ENZAMET…,,
187,,,#METSMONDAY,,
188,,,#METUPwithBCDeath,,
